IDs,pair,both_parsed,full_match,ligand_internal_match,metal_shell_match,mismatch_class
ABETAF,ILP / Hückel(DFT),1,1,1,1,full_match
ABETAF,CSD / NBO(DFT),0,,,,
ABETAF,CSD / Hückel(DFT),0,,,,
ABETAF,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABETIK,ILP / CSD,0,,,,
ABETIK,ILP / NBO(DFT),0,,,,
ABETIK,ILP / Hückel(DFT),1,0,0,1,ligand_only_or_same-element-metal_ambiguity
ABETIK,CSD / NBO(DFT),0,,,,
ABETIK,CSD / Hückel(DFT),0,,,,
ABETIK,NBO(DFT) / Hückel(DFT),0,,,,
ABETOQ,ILP / CSD,0,,,,
ABETOQ,ILP / NBO(DFT),1,0,1,0,metal_only
ABETOQ,ILP / Hückel(DFT),1,0,0,1,ligand_only_or_same-element-metal_ambiguity
ABETOQ,CSD / NBO(DFT),0,,,,
ABETOQ,CSD / Hückel(DFT),0,,,,
ABETOQ,NBO(DFT) / Hückel(DFT),1,0,0,0,ligand_and_metal
ABEVAG,ILP / CSD,1,1,1,1,full_match
ABEVAG,ILP / NBO(DFT),0,,,,
ABEVAG,ILP / Hückel(DFT),1,1,1,1,full_match
ABEVAG,CSD / NBO(DFT),0,,,,
ABEVAG,CSD / Hückel(DFT),1,1,1,1,full_match
ABEVAG,NBO(DFT) / Hückel(DFT),0,,,,
ABEVAH,ILP / CSD,0,,,,
ABEVAH,ILP / NBO(DFT),1,1,1,1,full_match
ABEVAH,ILP / Hückel(DFT),1,1,1,1,full_match
ABEVAH,CSD / NBO(DFT),0,,,,
ABEVAH,CSD / Hückel(DFT),0,,,,
ABEVAH,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABEVEL,ILP / CSD,0,,,,
ABEVEL,ILP / NBO(DFT),1,1,1,1,full_match
ABEVEL,ILP / Hückel(DFT),1,1,1,1,full_match
ABEVEL,CSD / NBO(DFT),0,,,,
ABEVEL,CSD / Hückel(DFT),0,,,,
ABEVEL,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABEWOT,ILP / CSD,1,1,1,1,full_match
ABEWOT,ILP / NBO(DFT),1,1,1,1,full_match
ABEWOT,ILP / Hückel(DFT),1,1,1,1,full_match
ABEWOT,CSD / NBO(DFT),1,1,1,1,full_match
ABEWOT,CSD / Hückel(DFT),1,1,1,1,full_match
ABEWOT,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABEWUZ,ILP / CSD,1,1,1,1,full_match
ABEWUZ,ILP / NBO(DFT),1,1,1,1,full_match
ABEWUZ,ILP / Hückel(DFT),1,1,1,1,full_match
ABEWUZ,CSD / NBO(DFT),1,1,1,1,full_match
ABEWUZ,CSD / Hückel(DFT),1,1,1,1,full_match
