IDs,pair,both_parsed,connectivity_match,atoms_a,atoms_b,edges_a,edges_b
ABEZIS,CSD / Hückel(DFT),1,1,26,26,28,28
ABEZIS,NBO(DFT) / Hückel(DFT),1,1,26,26,28,28
ABGTCU,ILP / CSD,0,,,14,,15
ABGTCU,ILP / NBO(DFT),0,,,14,,15
ABGTCU,ILP / Hückel(DFT),0,,,14,,15
ABGTCU,CSD / NBO(DFT),1,1,14,14,15,15
ABGTCU,CSD / Hückel(DFT),1,1,14,14,15,15
ABGTCU,NBO(DFT) / Hückel(DFT),1,1,14,14,15,15
ABICAP,ILP / CSD,1,0,35,35,40,42
ABICAP,ILP / NBO(DFT),0,,35,,40,
ABICAP,ILP / Hückel(DFT),1,0,35,35,40,42
ABICAP,CSD / NBO(DFT),0,,35,,42,
ABICAP,CSD / Hückel(DFT),1,1,35,35,42,42
ABICAP,NBO(DFT) / Hückel(DFT),0,,,35,,42
ABICAQ,ILP / CSD,1,0,31,31,37,38
ABICAQ,ILP / NBO(DFT),1,1,31,31,37,37
ABICAQ,ILP / Hückel(DFT),1,1,31,31,37,37
ABICAQ,CSD / NBO(DFT),1,0,31,31,38,37
ABICAQ,CSD / Hückel(DFT),1,0,31,31,38,37
ABICAQ,NBO(DFT) / Hückel(DFT),1,1,31,31,37,37
ABICIX,ILP / CSD,0,,31,,31,
ABICIX,ILP / NBO(DFT),1,1,31,31,31,31
ABICIX,ILP / Hückel(DFT),1,1,31,31,31,31
ABICIX,CSD / NBO(DFT),0,,,31,,31
ABICIX,CSD / Hückel(DFT),0,,,31,,31
ABICIX,NBO(DFT) / Hückel(DFT),1,1,31,31,31,31
ABICIY,ILP / CSD,1,1,30,30,37,37
ABICIY,ILP / NBO(DFT),1,1,30,30,37,37
ABICIY,ILP / Hückel(DFT),1,1,30,30,37,37
ABICIY,CSD / NBO(DFT),1,1,30,30,37,37
ABICIY,CSD / Hückel(DFT),1,1,30,30,37,37
ABICIY,NBO(DFT) / Hückel(DFT),1,1,30,30,37,37
ABICUK,ILP / CSD,1,1,25,25,28,28
ABICUK,ILP / NBO(DFT),1,1,25,25,28,28
ABICUK,ILP / Hückel(DFT),1,1,25,25,28,28
ABICUK,CSD / NBO(DFT),1,1,25,25,28,28
ABICUK,CSD / Hückel(DFT),1,1,25,25,28,28
ABICUK,NBO(DFT) / Hückel(DFT),1,1,25,25,28,28
ABIDEU,ILP / CSD,0,,41,,48,
ABIDEU,ILP / NBO(DFT),1,1,41,41,48,48
ABIDEU,ILP / Hückel(DFT),1,1,41,41,48,48
ABIDEU,CSD / NBO(DFT),0,,,41,,48
ABIDEU,CSD / Hückel(DFT),0,,,41,,48
ABIDEU,NBO(DFT) / Hückel(DFT),1,1,41,41,48,48
ABIDIB,ILP / CSD,1,1,29,29,30,30
ABIDIB,ILP / NBO(DFT),1,1,29,29,30,30
ABIDIB,ILP / Hückel(DFT),1,1,29,29,30,30
ABIDIB,CSD / NBO(DFT),1,1,29,29,30,30
ABIDIB,CSD / Hückel(DFT),1,1,29,29,30,30
ABIDIB,NBO(DFT) / Hückel(DFT),1,1,29,29,30,30
ABIDOE,ILP / CSD,0,,41,,48,
ABIDOE,ILP / NBO(DFT),1,1,41,41,48,48
ABIDOE,ILP / Hückel(DFT),1,1,41,41,48,48
ABIDOE,CSD / NBO(DFT),0,,,41,,48
ABIDOE,CSD / Hückel(DFT),0,,,41,,48
ABIDOE,NBO(DFT) / Hückel(DFT),1,1,41,41,48,48
ABIFEZ,ILP / CSD,1,1,29,29,28,28
ABIFEZ,ILP / NBO(DFT),1,1,29,29,28,28
ABIFEZ,ILP / Hückel(DFT),1,1,29,29,28,28
ABIFEZ,CSD / NBO(DFT),1,1,29,29,28,28
ABIFEZ,CSD / Hückel(DFT),1,1,29,29,28,28
ABIFEZ,NBO(DFT) / Hückel(DFT),1,1,29,29,28,28
ABIFUM,ILP / CSD,1,1,32,32,37,37
ABIFUM,ILP / NBO(DFT),1,1,32,32,37,37
ABIFUM,ILP / Hückel(DFT),1,1,32,32,37,37
ABIFUM,CSD / NBO(DFT),1,1,32,32,37,37
ABIFUM,CSD / Hückel(DFT),1,1,32,32,37,37
ABIFUM,NBO(DFT) / Hückel(DFT),1,1,32,32,37,37
ABIGIC,ILP / CSD,1,1,52,52,66,66
ABIGIC,ILP / NBO(DFT),0,,52,,66,
ABIGIC,ILP / Hückel(DFT),1,1,52,52,66,66
ABIGIC,CSD / NBO(DFT),0,,52,,66,
ABIGIC,CSD / Hückel(DFT),1,1,52,52,66,66
ABIGIC,NBO(DFT) / Hückel(DFT),0,,,52,,66
ABIHUO,ILP / CSD,0,,27,,32,
ABIHUO,ILP / NBO(DFT),0,,27,,32,
ABIHUO,ILP / Hückel(DFT),1,1,27,27,32,32
ABIHUO,CSD / NBO(DFT),0,,,,,
ABIHUO,CSD / Hückel(DFT),0,,,27,,32
ABIHUO,NBO(DFT) / Hückel(DFT),0,,,27,,32
