IDs,xyz2mol_status,error_type,elapsed_s,ilp_seconds,n_atoms
QUJBUU,fail,AttributeError,,0.1092,65
RABVEW,fail,ArgumentError,,0.1163,82
RANNIE,fail,ArgumentError,,0.1229,77
RAPPUU,fail,mol_is_none,1.6031,0.4176,83
RAZDIG,fail,ArgumentError,,0.1530,83
REHFEP,fail,AttributeError,,0.1273,81
REKVUB,fail,ArgumentError,,0.2043,79
REZCIK,fail,mol_is_none,0.073,0.0620,51
RILVOX,fail,mol_is_none,1.5859,0.2306,63
RITCIJ,fail,AttributeError,,0.1168,54
RITXUN,fail,ArgumentError,,0.3336,54
RITYAU,fail,ArgumentError,,0.3916,55
ROJWEV,fail,AttributeError,,0.1070,54
ROJWOF,fail,AttributeError,,0.3903,55
ROMFEE,fail,ArgumentError,,0.1440,85
ROSGEL,fail,AttributeError,,0.0896,57
RUCBEY,fail,AttributeError,,0.1303,79
RUJQIW,fail,AttributeError,,0.0866,52
RUKWOL,fail,KekulizeException,,0.1924,67
RUSFOC,timeout,timeout,300.0,0.5881,74
SACGIO,fail,ArgumentError,,0.1738,83
SACLUG,fail,AttributeError,,0.1882,67
SACMAN,fail,AttributeError,,0.1769,57
SACMIV,fail,AttributeError,,0.1092,73
SAKPEA,fail,AttributeError,,0.1889,80
SAKSIJ,fail,ArgumentError,,0.0920,77
SAKTAC,fail,ArgumentError,,0.0947,78
SEDRUO,fail,AtomValenceException,,0.4958,30
SEFNUO,fail,ArgumentError,,0.2877,59
SEHRED,timeout,timeout,300.0,0.4492,85
SEKMIG,fail,mol_is_none,0.0309,0.1687,45
SEMCUK,fail,ArgumentError,,0.1182,61
SEWCEC,fail,ArgumentError,,0.3754,47
SIDBUF,fail,ArgumentError,,0.1142,72
SIGXIR,fail,AttributeError,,0.1309,71
SILLEG,fail,ArgumentError,,0.0256,39
SOHFOL,fail,AttributeError,,0.0549,27
SOLVEU,fail,ArgumentError,,0.4229,84
SOMZAV,fail,ArgumentError,,0.1124,82
SOQLOZ,fail,ArgumentError,,0.4318,82
SOQZUT,timeout,timeout,300.0,0.0761,59
SORBOQ,timeout,timeout,300.0,0.0796,60
SORDIM,timeout,timeout,300.0,0.1173,64
SOWCIR,fail,ArgumentError,,0.0949,85
SUCBAT,fail,KekulizeException,,0.0959,67
SUNROK,fail,ArgumentError,,0.3732,66
SUNXAB,fail,mol_is_none,1.5096,0.1604,75
SUVVOU,fail,mol_is_none,0.0458,0.0489,48
TAYWIA,fail,AttributeError,,0.0850,67
TAZRAP,timeout,timeout,300.0,0.7510,75
TEDGIS,fail,ArgumentError,,0.3578,45
TEDYIK,fail,AttributeError,,0.0977,54
TIBBIP,fail,ArgumentError,,0.0962,85
TIHSOS,fail,ArgumentError,,0.0820,56
TIKHAY,timeout,timeout,300.0,0.5700,73
TIKHEC,timeout,timeout,300.0,0.5567,73
TITBII,timeout,timeout,300.0,0.9105,80
