pair,missed_cov_plus_0.45_fn_over_nbond,missed_p99_plus_0.05_fn_over_nbond,spurious_cov_plus_0.45_fp_over_nnonbond,spurious_p99_plus_0.05_fp_over_nnonbond
Mn-Cl,0/166,2/166,1/528,0/528
Mn-D,0/0,,0/6,
Mn-F,0/34,1/34,0/1192,0/1192
Mn-H,0/102,0/102,25/43458,0/43458
Mn-I,0/15,0/15,1/42,0/42
Mn-N,0/2759,5/2759,18/1600,0/1600
Mn-O,0/1560,4/1560,7/5654,0/5654
Mn-P,0/586,2/586,3/153,0/153
Mn-S,0/144,1/144,2/241,0/241
Mn-Se,0/22,0/22,0/7,0/7
Mn-Si,0/20,0/20,16/83,7/83
Mo-As,0/37,0/37,0/6,0/6
Mo-B,0/74,0/74,17/457,10/457
Mo-Br,0/112,0/112,1/112,0/112
