IDs,charge,status,ilp_seconds,n_atoms,rdkit_parse_ok,error,smiles_ilp
CZBACR,0,ok,0.035759,48,1,,[Cr]1(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-N(C([H])([H])[H])=C(c2c([H])c([H])c([H])c([H])c2[H])C([H])(C([H])([H])[H])C1=[N+](C(C([H])([H])[H])([H])[H])C(C([H])([H])[H])([H])[H]
DAHVIR,0,ok,0.027002,29,1,,[Ni]123<-n4c(C#N)c(C#N)n->1c([H])c([H])c([H])n->2c(C#N)c(C#N)n->3c([H])c([H])c4[H]
DAKFEC,0,ok,0.135649,36,1,,[W]123456789(<-S=C([H])C(=S->1)c1c([H])c([H])nc([H])c1[H])(<-C1([H])=C->2([H])C3([H])C->4([H])=C->51[H])<-C1([H])=C->6([H])[C+]->7([H])C->8([H])=C->91[H]
DAKGON,0,ok,0.071027,66,1,,[Ir+]123(<-N4=[N+]=C([H])C([H])=C4c4n->1c([H])c(C([H])([H])[H])c([H])c4C([H])([H])[H])(c1c([H])c(F)c([H])c([H])c1-n1c([H])c([H])[n+](C([H])([H])[H])[c-]->21)<-[c-]1n(-c2c3c([H])c(F)c([H])c2[H])c([H])c([H])[n+]1C([H])([H])[H]
DAKGUT,0,ok,0.063968,72,1,,[Ir+]123(<-N4=[N+]=C([H])C([H])=C4c4n->1c([H])c(C([H])([H])[H])c([H])c4C([H])([H])[H])(<-[c-]1[n+](C([H])([H])[H])c([H])c([H])n1-c1c([H])c([H])c(C([H])([H])[H])c([H])c12)<-[c-]1[n+](C([H])([H])[H])c([H])c([H])n1-c1c([H])c([H])c(C([H])([H])[H])c([H])c13
DALQAL,0,ok,0.102681,67,1,,[Ni]1234(Br)(<-C5N(c6c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c6C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N5c5c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c5C([H])([H])[H])<-C5([H])=C->1([H])[C+]->2([H])C->3([H])=C->45[H]
DARNAN,0,ok,0.110428,51,1,,[Pd+2]123<-n4c(c([H])c([H])c5c([H])c([H])c([H])c(c45)O1)C([H])=N->2c1c([H])c([H])c([H])c([H])c1C([H])([H])N3S(=O)(=O)c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H]
DAWXEE,0,ok,0.037899,48,1,,[Cr](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])C(=[O+]C(C([H])([H])[H])([H])[H])N=C(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
DAZLOG,0,ok,0.071479,46,1,,[V+3]123(Oc4c([H])c([H])c5c([H])c([H])c([H])c([H])c5c4C(=N->1C([H])([H])C(N->2([H])[H])([H])[H])[H])(<-O=C(N=N->3[H])c1c([H])c([H])nc([H])c1[H])=O
DEPTUN,0,ok,0.044583,44,1,,[Cr](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])C1=[N+](C([H])([H])[H])C(c2c([H])c([H])c([H])c([H])c2[H])([H])C1=C(c1c([H])c([H])c([H])c([H])c1[H])[H]
DEWXEJ,0,ok,0.087860,45,1,,C1(=O)c2c([H])c([H])c([H])c([H])c2C2N=C(C([H])([H])[H])N([H])[Ni+2]3(<-N=21)<-N1=C(N=C(C([H])([H])[H])N3[H])c2c(c([H])c([H])c([H])c2[H])C1=O
DEWXOT,0,ok,0.094870,57,1,,C1(=O)c2c([H])c([H])c([H])c([H])c2C2N=C(C([H])([H])C([H])([H])C([H])([H])[H])N([H])[Ni+2]3(<-N=21)<-N1=C(N=C(C([H])([H])C([H])([H])C([H])([H])[H])N3[H])c2c(c([H])c([H])c([H])c2[H])C1=O
DIPVUV,0,ok,0.016428,14,1,,[Au+](Cl)C(=[N+]([H])[H])c1oc([H])c([H])c1[H]
DODFAE,0,ok,0.089243,78,1,,[Ni+2]12(<-n3c(C(=N->1c1c(C(C([H])([H])[H])([H])C([H])([H])[H])c([H])c([H])c([H])c1C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c3C(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])=O)c1c2c([H])c([H])c([H])c([H])c2c([H])c([H])c1[H]
DODFEI,0,ok,0.095944,79,1,,[Ni+2]12(<-n3c(C(=O)N1C(c1c([H])c([H])c([H])c([H])c1[H])([H])[H])c([H])c([H])c([H])c3C(=N->2c1c(C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c([H])c1C(C([H])([H])[H])(C([H])([H])[H])[H])C([H])([H])[H])c1c2c(c([H])c([H])c1[H])c([H])c([H])c([H])c2[H]
DOHLIV,0,ok,0.070122,42,1,,[W]12345(<-C6(C([H])([H])[H])=C->1(C([H])([H])[H])C->2(C([H])([H])[H])=C->3(C([H])([H])[H])[C+]->46C([H])([H])[H])(<-[Se+]#[Se+]->5)(=O)C#Cc1c([H])c([H])c([H])c([H])c1[H]
DOLYUB,0,ok,0.080446,71,1,,[Au+](Cl)[C+]1N(c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])C([H])([H])c2c(c([H])c([H])c([H])c2[H])-c2c(c([H])c([H])c([H])c2[H])C([H])([H])N1c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H]
DOLZIQ,0,ok,0.088945,72,1,,[Au+](Cl)[C+]1N(c2c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c2C([H])([H])[H])C([H])([H])c2c(c([H])c([H])c([H])c2[H])Oc2c(c([H])c([H])c([H])c2[H])C([H])([H])N1c1c(C([H])([H])[H])c([H])c(C([H])([H])[H])c([H])c1C([H])([H])[H]
DOMFAN,0,ok,0.079655,62,1,,[Ir+]12345(Cl)(<-O=C6C([H])=C([H])C(C([H])([H])[H])=C7C6=C(N1c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])C7([H])C([H])([H])[H])<-[C+]1(C([H])([H])[H])C->2(C([H])([H])[H])=C->3(C([H])([H])[H])C->4(C([H])([H])[H])=C->51C([H])([H])[H]
DUHYEM,0,ok,0.097362,59,1,,[Mn+]1234(<-[C-]#[O+])(<-[C-]#[O+])(<-[C+]5([H])C->1([H])=C->2([H])C->3([H])=C->45[H])=C1[B-](C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])(c2n(C([H])([H])[H])c([H])c([H])[n+]2C([H])([H])[H])N1C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
DUMHOI,0,ok,0.050556,45,1,,[V+3]12(=O)(OC(C([H])([H])[H])([H])[H])<-O=C(C(=C(N->1=NC(=O->2)c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])[H])[H])c1c([H])c([H])c([H])c([H])c1[H]
